epoch,train_loss,val_loss,val_acc,val_f1_macro,lr,elapsed_sec
1,0.873564940652805,1.1928996691487945,0.7448559670781894,0.6802155624688373,9.990133642141359e-05,46
2,0.4876111977760753,1.1661818125610979,0.7304526748971193,0.6571512965000224,9.96057350657239e-05,46
3,0.47647465993877464,0.9094214174482558,0.8744855967078189,0.8550172097669708,9.911436253643444e-05,43
4,0.47539138959921773,0.8823500479199758,0.8580246913580247,0.8409009068686694,9.842915805643155e-05,44
5,0.4746195427474863,0.854262784430029,0.8847736625514403,0.866397236886707,9.755282581475769e-05,44
6,0.47081071273513236,0.941506848045828,0.7860082304526749,0.7579978455340404,9.648882429441257e-05,46
7,0.47041571049222575,0.8537549141012593,0.8559670781893004,0.8349359907794753,9.524135262330098e-05,45
8,0.46955978557533556,0.8393648529248964,0.8683127572016461,0.8479842739376513,9.381533400219317e-05,42
9,0.46821644297076187,0.8308894889344894,0.8436213991769548,0.8176283734705059,9.221639627510075e-05,45
10,0.4690425762876376,0.8520764431345119,0.8497942386831275,0.825650388576496,9.045084971874735e-05,45
11,0.46839389118318664,0.8164217732080217,0.8930041152263375,0.8766807533848432,8.852566213878945e-05,43
12,0.46785182674392917,0.8348768890639882,0.8600823045267489,0.8390756376314836,8.644843137107056e-05,44
13,0.4680066920519463,0.8561100761095682,0.8436213991769548,0.8104526890384848,8.422735529643442e-05,46
14,0.467809410034112,0.8539949633457042,0.8477366255144033,0.8192162099463473,8.187119948743447e-05,44
15,0.46776672019754034,0.8297957770618392,0.8641975308641975,0.8376784346344699,7.938926261462366e-05,45
16,0.46792068315175084,0.8003527171327254,0.8827160493827161,0.860103975043359,7.679133974894982e-05,45
17,0.4688103625549948,0.7768586775893537,0.9094650205761317,0.8978598385498631,7.408768370508575e-05,45
18,0.4731995226010247,0.7338231718589249,0.9176954732510288,0.9012404228106207,7.128896457825361e-05,44
19,0.4719738526964728,0.846710690377671,0.8662551440329218,0.8478239084987647,6.840622763423389e-05,46
20,0.4751156495526954,0.7695693366321517,0.9176954732510288,0.9034220266778406,6.545084971874736e-05,44
21,0.48152681850282475,0.8554749252128994,0.8621399176954733,0.8308369040498327,6.243449435824272e-05,45
22,0.4701750983065017,0.8642746044529809,0.8703703703703703,0.8522357017080002,5.9369065729286224e-05,43
23,0.46793766955015637,0.8612390301600406,0.8703703703703703,0.8522357017080002,5.626666167821521e-05,44
24,0.4677997173024493,0.8902475420584894,0.8621399176954733,0.8414782556769297,5.3139525976465657e-05,45
25,0.4676161193976912,0.869351129227705,0.8662551440329218,0.8494605062428365,4.999999999999998e-05,41
26,0.46763391730349424,0.8666747581566312,0.8683127572016461,0.8510102495317831,4.6860474023534314e-05,44
27,0.467431721603888,0.8492960422127335,0.8765432098765432,0.8580455892186243,4.3733338321784775e-05,45
28,0.46753894554211506,0.8458724097950469,0.8744855967078189,0.8552934310175396,4.063093427071375e-05,42
29,0.4676894400582753,0.8370136955883277,0.8950617283950617,0.8790552216974096,3.756550564175724e-05,46
30,0.46751409218251383,0.860746048114918,0.8724279835390947,0.8532708700651213,3.454915028125263e-05,45
31,0.4673851131364711,0.8616475422441223,0.8724279835390947,0.8536410043168344,3.1593772365766105e-05,42
32,0.467317888879494,0.8521377407474282,0.8786008230452675,0.8607427127930491,2.8711035421746357e-05,42
33,0.46741104493181124,0.856211687311714,0.8744855967078189,0.8560225963082269,2.591231629491422e-05,44
34,0.46810955098546037,0.8820140627921854,0.8621399176954733,0.8402954086768335,2.3208660251050148e-05,45
35,0.4673211173420178,0.8913486565582056,0.8600823045267489,0.8377720296828662,2.061073738537634e-05,43
36,0.4674121281558977,0.8877395698072489,0.8621399176954733,0.8402954086768335,1.8128800512565503e-05,45
37,0.46733593176949373,0.8871632163171415,0.8621399176954733,0.8402954086768335,1.5772644703565555e-05,42
38,0.4676046609849164,0.8812209545584863,0.8641975308641975,0.8419620394090654,1.3551568628929426e-05,44
39,0.46741635826434214,0.8868103504426195,0.8621399176954733,0.8388496978853284,1.1474337861210536e-05,43
40,0.4673704338402746,0.8877146402258932,0.8600823045267489,0.8354494237839476,9.549150281252626e-06,44
41,0.4672732886097712,0.8845473052052314,0.8600823045267489,0.8354494237839476,7.783603724899252e-06,45
42,0.46755241288699323,0.8812935422232122,0.8600823045267489,0.8353227792573736,6.184665997806817e-06,46
43,0.4687788019984035,0.8826350431138106,0.8600823045267489,0.8353227792573736,4.75864737669903e-06,45
44,0.46729014403365293,0.8833990256482191,0.8600823045267489,0.8354494237839476,3.5111757055874303e-06,45
45,0.4672711767428846,0.8833361990412567,0.8600823045267489,0.8354494237839476,2.4471741852423216e-06,45
46,0.46724573679602516,0.8837014966540866,0.8600823045267489,0.8354494237839476,1.5708419435684504e-06,46
47,0.4672860276998705,0.8838546435528822,0.8600823045267489,0.8354494237839476,8.856374635655631e-07,43
48,0.4672759748727245,0.883902381477042,0.8600823045267489,0.8354494237839476,3.942649342761114e-07,43
49,0.4672684282901664,0.8838395510681372,0.8600823045267489,0.8354494237839476,9.866357858642197e-08,44
50,0.46731553810931825,0.8838466479454512,0.8600823045267489,0.8354494237839476,0.0,45
