epoch,train_loss,val_loss,val_acc,val_f1_macro,lr,elapsed_sec
1,1.2718111059535249,1.3315198313552166,0.6790123456790124,0.5581371973617351,9.990133642141359e-05,46
2,0.538006802302032,1.122003214349472,0.7222222222222222,0.6381302112761156,9.96057350657239e-05,46
3,0.5053948714205524,0.9467823794839804,0.7674897119341564,0.6996294572218772,9.911436253643444e-05,45
4,0.49007696016132096,0.9624166981673535,0.7757201646090535,0.7215574123304624,9.842915805643155e-05,41
5,0.48831629794239706,0.8478795081499673,0.8436213991769548,0.8179403433867719,9.755282581475769e-05,43
6,0.48322463771461444,0.7216850822109254,0.9012345679012346,0.8844006208829576,9.648882429441257e-05,44
7,0.4809622871811135,0.7745882118189776,0.8909465020576132,0.872948576387482,9.524135262330098e-05,45
8,0.47461347229789785,0.8008720336382281,0.8765432098765432,0.8532415148678443,9.381533400219317e-05,43
9,0.47480094303574805,0.7992102817743404,0.8888888888888888,0.8680870384059428,9.221639627510075e-05,44
10,0.47491741294987744,0.8476344526059343,0.845679012345679,0.812513307653537,9.045084971874735e-05,46
11,0.4739388128905064,0.8038755304528853,0.8724279835390947,0.8479830012386154,8.852566213878945e-05,45
12,0.4745303289005473,0.8113300182201244,0.8621399176954733,0.836502333786677,8.644843137107056e-05,44
13,0.47535999092108633,0.826455265038298,0.8559670781893004,0.8256667981494161,8.422735529643442e-05,45
14,0.4741209093251799,0.8700593155597953,0.8724279835390947,0.8485187773980878,8.187119948743447e-05,43
15,0.47224486975789715,0.8471749315781848,0.8847736625514403,0.8622965678633587,7.938926261462366e-05,45
16,0.4723496852160793,0.8600496350492469,0.8703703703703703,0.8465157027269097,7.679133974894982e-05,46
17,0.47284942721427514,0.8077914545565476,0.8827160493827161,0.8637925856815527,7.408768370508575e-05,46
18,0.47032638450101305,0.836515316502057,0.8436213991769548,0.8159039891598031,7.128896457825361e-05,47
19,0.4705031162238932,0.8657876115767553,0.8436213991769548,0.8119575656915478,6.840622763423389e-05,43
20,0.4717594445662407,0.8875830563498132,0.8353909465020576,0.7954472880930427,6.545084971874736e-05,45
21,0.47308031605816403,0.8196530072286786,0.8436213991769548,0.8074689081750175,6.243449435824272e-05,46
22,0.4716449150932194,0.7967828227659312,0.8497942386831275,0.8160284288062072,5.9369065729286224e-05,44
23,0.47030543947584114,0.8078295019428425,0.8518518518518519,0.8171318046866897,5.626666167821521e-05,45
24,0.4697633693963216,0.79165815791966,0.8641975308641975,0.8382517788998235,5.3139525976465657e-05,42
25,0.469729798541626,0.7246316148910994,0.8683127572016461,0.8398851526886598,4.999999999999998e-05,44
26,0.46953364415025406,0.7444977104173276,0.8641975308641975,0.8371089276804207,4.6860474023534314e-05,44
27,0.4697842371322769,0.7464847201673092,0.8641975308641975,0.838116744651388,4.3733338321784775e-05,47
28,0.4692212243336301,0.7664887078504994,0.8806584362139918,0.8596397649822425,4.063093427071375e-05,45
29,0.46927637425827357,0.7578434576222925,0.8724279835390947,0.8494263039639033,3.756550564175724e-05,45
30,0.46959108064302735,0.7478857229275958,0.8621399176954733,0.83546351887989,3.454915028125263e-05,46
31,0.4696011370834663,0.7642032366721228,0.8641975308641975,0.8365114999221189,3.1593772365766105e-05,46
32,0.469332472672305,0.7316741499390622,0.8847736625514403,0.8645534593535785,2.8711035421746357e-05,45
33,0.46983556905481366,0.8266025845405987,0.8497942386831275,0.8171344466618804,2.591231629491422e-05,44
34,0.4695575876210111,0.7199170752562614,0.9032921810699589,0.8860752034411548,2.3208660251050148e-05,44
35,0.4691930086580975,0.7454552189312844,0.9012345679012346,0.8829679981949252,2.061073738537634e-05,46
36,0.4690793948610643,0.7552690691172831,0.8888888888888888,0.8691211989608608,1.8128800512565503e-05,44
37,0.4689909499551699,0.7656313570929162,0.9032921810699589,0.8847822393984403,1.5772644703565555e-05,44
38,0.4701054289518406,0.7611249901139687,0.897119341563786,0.878248415935236,1.3551568628929426e-05,44
39,0.4696009327414707,0.7725690346931724,0.8950617283950617,0.8753660060035933,1.1474337861210536e-05,45
40,0.46933034702790316,0.7788941970577946,0.8786008230452675,0.8553767706012235,9.549150281252626e-06,44
41,0.4688881662545268,0.7718977590892541,0.8827160493827161,0.8614708715841621,7.783603724899252e-06,44
42,0.4685168992186368,0.7780207848107373,0.8765432098765432,0.8530523763671526,6.184665997806817e-06,44
43,0.4686500464918109,0.7651472811590988,0.8806584362139918,0.858314234913746,4.75864737669903e-06,44
44,0.4686620498802228,0.7669688618968054,0.8950617283950617,0.8758793327087251,3.5111757055874303e-06,44
45,0.46855292104628943,0.7494932366496742,0.8909465020576132,0.871185513614398,2.4471741852423216e-06,45
46,0.4704308940043527,0.7675744671635176,0.8930041152263375,0.873754355719235,1.5708419435684504e-06,44
47,0.4694764749236504,0.7764087995138679,0.8909465020576132,0.8709409776607415,8.856374635655631e-07,43
48,0.47031773994743326,0.7844278649292855,0.8909465020576132,0.8708880777573362,3.942649342761114e-07,44
49,0.4689353683301532,0.7863231143097819,0.8786008230452675,0.85658125798212,9.866357858642197e-08,46
50,0.46916543200663474,0.7769726041413139,0.8765432098765432,0.8532914914192745,0.0,45
