score,auroc,aupr_in,aupr_out,fpr_at_95_tpr,best_detection_accuracy,best_threshold
max_softmax,0.6987967384730882,0.5369516543263566,0.7478379444659259,0.8929159802306426,0.6956087824351297,0.9130527377128601
negative_entropy,0.7005651366963486,0.5368360152049341,0.7550587220902104,0.8731466227347611,0.6956087824351297,-0.4639449715614319
negative_energy,0.7627802223010031,0.7135773322573298,0.7896126130833055,0.8105436573311368,0.7534930139720559,3.949476718902588
